date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:49:03	46904/46904	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:09%20GMT	https://codewithharry.com/videos/python-django-tutorials-hindi-82	E:/New%20folder/website1/codewithharry.com/videos/python-django-tutorials-hindi-82.html	(from https://codewithharry.com/videos/python-django-tutorials-hindi-0)
19:49:03	37804/37804	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:09%20GMT	https://codewithharry.com/videos/c-language-tutorials-in-hindi-2	E:/New%20folder/website1/codewithharry.com/videos/c-language-tutorials-in-hindi-2.html	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
19:49:04	43240/43240	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:10%20GMT	https://codewithharry.com/videos/c-language-tutorials-in-hindi-3	E:/New%20folder/website1/codewithharry.com/videos/c-language-tutorials-in-hindi-3.html	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
19:49:04	40901/40901	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:10%20GMT	https://codewithharry.com/videos/c-language-tutorials-in-hindi-4	E:/New%20folder/website1/codewithharry.com/videos/c-language-tutorials-in-hindi-4.html	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
19:49:05	40675/40675	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:11%20GMT	https://codewithharry.com/videos/c-language-tutorials-in-hindi-5	E:/New%20folder/website1/codewithharry.com/videos/c-language-tutorials-in-hindi-5.html	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
19:49:05	39085/39085	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:11%20GMT	https://codewithharry.com/videos/c-language-tutorials-in-hindi-6	E:/New%20folder/website1/codewithharry.com/videos/c-language-tutorials-in-hindi-6.html	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
19:49:06	37119/37119	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:11%20GMT	https://codewithharry.com/videos/c-language-tutorials-in-hindi-7	E:/New%20folder/website1/codewithharry.com/videos/c-language-tutorials-in-hindi-7.html	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
19:49:06	51866/51866	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:12%20GMT	https://codewithharry.com/videos/c-language-tutorials-in-hindi-8	E:/New%20folder/website1/codewithharry.com/videos/c-language-tutorials-in-hindi-8.html	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
19:49:06	48403/48403	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:13%20GMT	https://codewithharry.com/videos/c-language-tutorials-in-hindi-10	E:/New%20folder/website1/codewithharry.com/videos/c-language-tutorials-in-hindi-10.html	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
19:49:08	36876/36876	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:49:13%20GMT	https://codewithharry.com/videos/c-language-tutorials-in-hindi-12	E:/New%20folder/website1/codewithharry.com/videos/c-language-tutorials-in-hindi-12.html	(from https://codewithharry.com/videos/c-language-tutorials-in-hindi-1)
